time_s,PhaseA_V,PhaseB_V,PhaseC_V,Torque_Nm
1.050000000000000065e-02,1.096871675058680040e+02,-2.144569435589299928e+02,1.032369759623040011e+02,6.434361432527370139e-01
1.057499999999999933e-02,1.137506907408969994e+02,-1.998761634315970070e+02,8.323948968352050315e+01,1.772638911440119980e+00
1.065000000000000148e-02,1.332879039158829926e+02,-1.978895014644529624e+02,4.430685714682010001e+01,-1.148821065009800080e+00
1.072500000000000016e-02,1.662176514247620105e+02,-2.027233560728680004e+02,1.457441131293649939e+01,-1.030413178410569897e+00
1.080000000000000057e-02,2.026406170000699944e+02,-2.131016042826130104e+02,3.380321974442899613e+00,-3.418201118268739958e-01
1.087499999999999925e-02,2.168452939691489973e+02,-2.165605823079310142e+02,-2.130834020053209987e-01,-7.073379514106390431e-01
1.094999999999999966e-02,2.110465801072330123e+02,-1.991205474957509978e+02,-4.426385423865010438e+00,1.373873046153319954e+00
1.102500000000000008e-02,2.018896801556680032e+02,-1.611577220591640014e+02,-1.699796105589980044e+01,8.707250830530479657e-01
1.110000000000000049e-02,1.979157541601040009e+02,-1.290920805546550127e+02,-4.905581653078969850e+01,-1.750294868209800070e+00
1.117499999999999917e-02,2.002741112587380030e+02,-1.130967495828519844e+02,-8.588360829780980055e+01,-1.251617426868439908e-01
1.124999999999999958e-02,2.139160839748039962e+02,-1.086364821954919933e+02,-1.034551345344359987e+02,2.585551702573610222e-01
